8/6までの購入数,,,合計購入数,累積販売台数,残,累積販売台数,8/7以降の購入数,Wed Aug 07 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Aug 14 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Aug 21 2024 00:00:00 GMT+0900 (Japan Standard Time),返品修理,Wed Aug 28 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 04 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 11 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 18 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 25 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Oct 08 2024 00:00:00 GMT+0900 (Japan Standard Time),10/4福山→東京在庫移管,Wed Oct 16 2024 00:00:00 GMT+0900 (Japan Standard Time),Thu Oct 24 2024 00:00:00 GMT+0900 (Japan Standard Time),福山→東京,Wed Oct 30 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Nov 06 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Nov 19 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Nov 27 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 10 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Dec 18 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 24 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 31 2024 00:00:00 GMT+0900 (Japan Standard Time),Thu Jan 09 2025 00:00:00 GMT+0900 (Japan Standard Time),Sun Jan 19 2025 00:00:00 GMT+0900 (Japan Standard Time),Wed Jan 22 2025 00:00:00 GMT+0900 (Japan Standard Time)
発送済み,広島から発送,7267,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730766185660-rj5iqog5ub.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7269,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730766345495-9gvypxn5jrh.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7270,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730766500567-gf87uutqw6u.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7271,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730766616330-ilb5pijkvm.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7272,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730766726256-kv42h8ku10a.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7273,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730766850239-rrcxojyfo9f.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7276,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730852539448-st0jtra1h3.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7278,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731024856787-ms6ji60yaec.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7280,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731025027709-cxrkltxom4l.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7284,スイッチライト,ブルー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731025202298-6eoaywhgq1h.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7285,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731027764104-s640h7jb4rr.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7293,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731284610140-d0zukt8wnr.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7294,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731284809079-2pg4hks8st2.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7295,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731284968546-d46ybwn7fo.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7301,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731287454863-06sdnskgb7zf.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7310,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731543518989-dgsfj1atc4q.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7311,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731543704256-ncf8q2n02z.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7313,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731629909170-j0gk5h7ez6.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7314,スイッチライト,ブルー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731630131489-qouj0tajt8o.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7315,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731630286835-v0zqddr7g8m.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7316,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731630493249-gxx5naarobd.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7318,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731630666885-4np7ysn3olt.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7319,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731630818988-3lp0bab4khe.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7320,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731631015988-oktgt6a9zvq.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7321,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731631248331-phoztcipfj.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7322,スイッチライト,ブルー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731631560993-8kubbayj2a2.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7329,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731889897664-3xdwgkjm1fw.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7330,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731890095820-ldgcu49ouf.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7335,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731890095820-ldgcu49ouf.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7339,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731890582575-hdn86q443fp.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7341,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731976351593-xbm4aqttyn.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7342,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731976480261-cjxje5ncwxl.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7343,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731976630724-83k02f9z3xu.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7344,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732062237331-ygmdw8yq2m.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7349,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732062453984-yxd4z74lkrp.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7353,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732148174605-lq3fxpumv8.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7357,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732148345871-dwdvhe9f4us.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7358,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732148490283-ggyptonpad.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7361,スイッチライト,ブルー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732494088942-qmdyqn3rwb.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7363,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732494249196-6bjxpxwylam.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7364,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732494407323-gqanz6w6ler.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7369,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732494588076-xdkcwwk9ge.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7376,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732494985328-6hm90851alh.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7377,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732495133061-duq066ys33q.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7384,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732580176505-1xt370r2p8p.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7385,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732580375113-mdy2bbu3usr.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7386,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732580530815-ll406l3hdhi.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7387,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732580751200-61xv65lxhmh.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7388,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732580921445-cck49mb3ssl.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7389,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732582968223-wedbbzlmug.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7390,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732666449492-5zfnqh7mrpk.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7392,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732668216348-9t4iubzloau.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7393,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732667070216-16wigl1wgdd.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7394,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732667693202-fgehsl3chip.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7397,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732668062017-efaxx88a0q.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7403,スイッチライト,ブルー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1732752959094-257l9heiryg.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7415,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733098577099-vgvx0gow9hd.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7422,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733098764836-cq8emaz7fsv.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7425,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733187575225-rkchk2rggd8.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7427,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733271697227-95snt47zh1w.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7429,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733271895160-tc7384sd7zc.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7432,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733272078236-zge9fhowvo9.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7433,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733357771467-t5s6clm8fsm.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7435,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733444124935-on67r645xtr.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7439,スイッチライト,ブルー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733702770288-79e9wl95lks.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7444,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733790053979-fbrwjpbnbz.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7445,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733876779544-yp7kk57fmih.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7446,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733876978046-yzifhvrnxv.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7448,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733877323369-j4t5saffi6.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7453,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733962846499-8v5o3qe5ks.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7455,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1733963120545-1r6h6zw6epn.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7460,スイッチライト,ブルー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1734049339519-r11k4yuqy3r.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7461,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1734049482537-mclbicj53f.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7464,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1734049638244-p09xl9v7x1.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7465,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1734049844729-gapi37kkjx.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7467,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1734049992663-ocnjg996qw.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7468,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1734050121364-0lvheb16u94.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7483,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1735260012323-2fzb6nwiu0p.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7484,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1735261661538-bu2ua2vex37.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7490,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1736125010364-smetceeno6.pdf,,,,,,,,,,,,,,,,,,,,,,,